"Fln_WaterFlowRate","P001","Tamb","P002","Fln_ValveOut","X001_rmsAccEnv","F001","Urms","Irms","X001_rmsAccRaw","Pmean","X001_rmsVelEnv","C002","C001","Fln_MotorActivePower","Fln_BearingLife","Fln_PressureOut","X001_peakHiFreq","S001","timestamp","PowerFactor","RemainingUsefulLife","Fln_HydraulicEfficiency","Fln_NPSH","Fln_Tresidual","Fln_MotorCurrentFrequency","X001_rmsVelRaw","Fln_Urms","Fln_PressureIn","TmotorCase","X001_iso10816","T002","Frequency","Fln_ShaftRotationSpeed","T001","Fln_ValveIn"
5.84213064319588E-4,103.45832061767578,20.639704,93.30328369140625,90.0,0.0,-0.03044174425303936,0.0,0.0010000000474974513,1.0,0.0,0.012916665524244308,90.0,90.0,0.343535834976303,,93.2366368940066,4.336039066314697,0.0,2019-05-31 10:40:26,0.0,,,,,0.0,0.010499999858438969,0.0,103.230049271177,33.228355,5.000000237487257E-4,35.0,0.0,0.0,45.400001525878906,90.0
5.84213064319588E-4,103.45832061767578,20.639704,93.30328369140625,90.0,0.0,-0.03044174425303936,0.0,0.0010000000474974513,1.0,0.0,0.012916665524244308,90.0,90.0,0.343535834976303,,93.2366368940066,4.336039066314697,0.0,2019-05-31 10:40:25,0.0,,,,,20.0,0.010499999858438969,0.0,103.230049271177,33.228355,5.000000237487257E-4,35.0,0.0,0.0,45.400001525878906,90.0
5.84213064319588E-4,103.45832061767578,20.639704,93.30328369140625,90.0,0.0,-0.03044174425303936,0.0,0.0010000000474974513,1.0,0.0,0.012916665524244308,90.0,90.0,0.343535834976303,,93.2366368940066,4.336039066314697,0.0,2019-05-31 10:40:25,0.0,,,,,0.0,0.010499999858438969,0.0,103.230049271177,33.228355,5.000000237487257E-4,35.0,0.0,0.0,45.400001525878906,90.0
5.84213064319588E-4,103.45832061767578,20.639704,93.30328369140625,90.0,0.0,-0.03044174425303936,0.0,0.0010000000474974513,1.0,0.0,0.012916665524244308,90.0,90.0,0.343535834976303,,93.2366368940066,4.336039066314697,0.0,2019-05-31 10:40:25,0.0,,,,,0.0,0.010499999858438969,0.0,103.230049284843,33.228355,5.000000237487257E-4,35.0,0.0,0.0,45.400001525878906,90.0
5.84213064319588E-4,103.45832061767578,20.639704,93.30328369140625,90.0,0.0,-0.03044174425303936,0.0,0.0010000000474974513,1.0,0.0,0.012916665524244308,90.0,90.0,0.343535834976303,,93.2366367206287,4.336039066314697,0.0,2019-05-31 10:39:56,0.0,,,,,0.0,0.010499999858438969,0.0,103.230049284843,33.228355,5.000000237487257E-4,35.0,0.0,0.0,45.400001525878906,90.0
5.84213064319588E-4,103.45832061767578,20.639704,93.30328369140625,90.0,0.0,-0.03044174425303936,0.0,0.0010000000474974513,1.0,0.0,0.012916665524244308,90.0,90.0,0.343535834976303,,93.2366367206287,4.336039066314697,0.0,2019-05-31 10:39:56,0.0,,,,,20.0,0.010499999858438969,0.0,103.230049284843,33.228355,5.000000237487257E-4,35.0,0.0,0.0,45.400001525878906,90.0
5.84213064319588E-4,103.45832061767578,20.639704,93.30328369140625,90.0,0.0,-0.03044174425303936,0.0,0.0010000000474974513,1.0,0.0,0.012916665524244308,90.0,90.0,0.343535834976303,,93.2366367206287,4.336039066314697,0.0,2019-05-31 10:39:56,0.0,,,,,0.0,0.010499999858438969,0.0,103.230049284843,33.228355,5.000000237487257E-4,35.0,0.0,0.0,45.400001525878906,90.0
5.84213064319588E-4,103.45832061767578,20.639704,93.30328369140625,90.0,0.0,-0.03044174425303936,0.0,0.0010000000474974513,1.0,0.0,0.012916665524244308,90.0,90.0,0.343535834976303,,93.2366370186647,4.336039066314697,0.0,2019-05-31 10:39:36,0.0,,,,,0.0,0.010499999858438969,0.0,103.23004935719,33.228355,5.000000237487257E-4,35.0,0.0,0.0,45.400001525878906,90.0
5.84213064319588E-4,103.45832061767578,20.639704,93.30328369140625,90.0,0.0,-0.03044174425303936,0.0,0.0010000000474974513,1.0,0.0,0.012916665524244308,90.0,90.0,0.343535834976303,,93.2366370186647,4.336039066314697,0.0,2019-05-31 10:39:36,0.0,,,,,20.0,0.010499999858438969,0.0,103.23004935719,33.228355,5.000000237487257E-4,35.0,0.0,0.0,45.400001525878906,90.0
5.84213064319588E-4,103.45832061767578,20.639704,93.30328369140625,90.0,0.0,-0.03044174425303936,0.0,0.0010000000474974513,1.0,0.0,0.012916665524244308,90.0,90.0,0.343535834976303,,93.2366370186647,4.336039066314697,0.0,2019-05-31 10:39:36,0.0,,,,,0.0,0.010499999858438969,0.0,103.23004935719,33.228355,5.000000237487257E-4,35.0,0.0,0.0,45.400001525878906,90.0
